date,open,high,low,close,volume,shares_calculated,shares_actual,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2024-09-17,31.44292612487595,31.44292612487595,31.06295334352863,31.15794563293457,2521,32.01430581307718,30,,,,0.0,997.5
2024-09-18,31.347934116602506,32.20287922381747,31.252941826344664,31.44292640686035,5681,32.01430581307718,30,0.009146327465972215,0.009146327465972215,9.120000000000005,997.5,1006.62
2024-09-19,31.63291375108897,32.962827520883685,31.63291375108897,32.29787063598633,12292,32.01430581307718,30,0.027190351752355957,0.03658537107937021,27.370000000000005,1006.62,1033.99
2024-09-20,32.20287936777524,32.39286394914022,31.82290295759806,32.10788345336914,5357,32.01430581307718,30,-0.005882343909245358,0.030487819435388586,-6.079999999999927,1033.99,1027.91
2024-09-23,32.012890431390026,32.77283961066064,32.012890431390026,32.58285140991211,5756,32.01430581307718,30,0.014792876560448809,0.045731698545342425,15.209999999999809,1027.91,1043.12
2024-09-24,32.772841644287105,33.72277908325195,32.58285343174939,33.24781036376953,13895,32.01430581307718,30,0.020408249280943425,0.06707325173024015,21.29000000000019,1043.12,1064.41
2024-09-25,33.81777005474509,34.00775825985068,32.77284036224976,33.15281677246094,8866,32.01430581307718,30,-0.002857138267731152,0.06402447590824933,-3.050000000000182,1064.41,1061.36
2024-09-26,33.152816769494585,33.437797265265665,31.82290295759806,32.10788345336914,8253,32.01430581307718,30,-0.031518688932633654,0.030487819435388586,-33.44999999999982,1061.36,1027.91
2024-09-27,32.29787165845773,32.48785986354632,31.632914752509468,32.10788345336914,6735,32.01430581307718,30,0.0,0.030487819435388586,0.0,1027.91,1027.91
2024-09-30,31.82290394757397,33.247810094480265,31.82290394757397,32.96282958984375,5015,32.01430581307718,30,0.0266272966175507,0.05792692426426771,27.36999999999989,1027.91,1055.28
2024-10-01,33.24781036376953,33.24781036376953,32.772841644287105,33.24781036376953,3571,32.01430581307718,30,0.008645519133878787,0.06707325173023992,9.13000000000011,1055.28,1064.41
2024-10-02,33.43779781981515,34.197747029049296,33.247809611575704,33.7227783203125,6299,32.01430581307718,30,0.01428569133865576,0.08231713084019376,15.199999999999818,1064.41,1079.61
2024-10-03,33.2478083272036,33.81776930618054,33.152816038615285,33.627784729003906,1875,32.01430581307718,30,-0.002816896947407721,0.07926835501820295,-3.0399999999999636,1079.61,1076.57
2024-10-04,33.722776576874104,34.57772165788988,33.722776576874104,34.387733459472656,3492,32.01430581307718,30,0.02259883416623909,0.103658561594129,24.330000000000155,1076.57,1100.9
2024-10-07,34.86270346212649,35.52766036987305,34.19774655437993,35.52766036987305,5606,32.01430581307718,30,0.03314923072042064,0.14024399388898035,36.49000000000001,1100.9,1137.39
2024-10-08,35.52766036987305,35.52766036987305,35.52766036987305,35.52766036987305,0,32.01430581307718,30,0.0,0.14024399388898035,0.0,1137.39,1137.39
2024-10-09,34.86270271841128,35.337671410423084,34.767706805774786,34.95769500732422,3409,32.01430581307718,30,-0.016042862282936943,0.12195121652607344,-18.24000000000001,1137.39,1119.15
2024-10-10,34.95769500732422,34.95769500732422,34.95769500732422,34.95769500732422,0,32.01430581307718,30,0.0,0.12195121652607344,0.0,1119.15,1119.15
2024-10-11,35.81263906422552,35.90763135038464,35.147682189941406,35.147682189941406,1588,32.01430581307718,30,0.005434774305839829,0.12804876817005506,6.079999999999927,1119.15,1125.23
2024-10-14,35.62265341853719,36.0026298378244,34.95769649664643,35.05269241333008,4669,32.01430581307718,30,-0.0027025900626389543,0.1250001147790265,-3.0399999999999636,1125.23,1122.19
2024-10-15,35.052691667586096,35.052691667586096,34.007758348639015,34.48272705078125,3252,32.01430581307718,30,-0.016260244885841546,0.1067073374161196,-18.25,1122.19,1103.94
