date,open,high,low,close,volume,shares_calculated,shares_actual,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2023-08-22,59.91999816894531,61.314998626708984,59.61000061035156,60.97999954223633,17364200,10.842899392644892,12,,,,0.0,661.2
2023-08-23,61.279998779296875,62.369998931884766,60.93000030517578,61.7599983215332,13105400,10.842899392644892,12,0.012791059120238701,0.012791059120238701,8.459999999999923,661.2,669.66
2023-08-24,61.689998626708984,61.91999816894531,60.62099838256836,60.709999084472656,12846900,10.842899392644892,12,-0.017001283445541415,-0.004427688746974523,-11.389999999999986,669.66,658.27
2023-08-25,60.9900016784668,61.599998474121094,60.08000183105469,61.189998626708984,11150100,10.842899392644892,12,0.00790643303368288,0.0034437370621365204,5.210000000000036,658.27,663.48
2023-08-28,61.59000015258789,61.959999084472656,61.029998779296875,61.66999816894531,10459300,10.842899392644892,12,0.007844411717747857,0.011315162871247342,5.199999999999932,663.48,668.68
2023-08-29,61.630001068115234,62.7400016784668,61.529998779296875,62.5,11627600,10.842899392644892,12,0.013458762051214768,0.02492621300711706,9.0,668.68,677.68
2023-08-30,62.380001068115234,63.470001220703125,62.119998931884766,63.41999816894531,12041000,10.842899392644892,12,0.014719970703124918,0.04001309683544663,9.980000000000018,677.68,687.66
2023-08-31,62.720001220703125,63.40999984741211,62.45000076293945,62.5099983215332,13840200,10.842899392644892,12,-0.01434878388025096,0.025090173676324268,-9.870000000000005,687.66,677.79
2023-09-01,63.130001068115234,63.650001525878906,62.733001708984375,63.56999969482422,11709600,10.842899392644892,12,0.016957309258571307,0.04247294476927621,11.490000000000009,677.79,689.28
2023-09-05,63.380001068115234,64.18000030517578,63.03499984741211,63.7400016784668,12739100,10.842899392644892,12,0.0026742486150495015,0.045260776598051944,1.8500000000000227,689.28,691.13
2023-09-06,63.119998931884766,63.84000015258789,62.68000030517578,62.79999923706055,13621300,10.842899392644892,12,-0.014747449272876523,0.029845846318244718,-10.200000000000045,691.13,680.93
2023-09-07,62.0,62.09000015258789,61.119998931884766,61.650001525878906,12712700,10.842899392644892,12,-0.01831206568714394,0.010987241532832703,-12.469999999999914,680.93,668.46
2023-09-08,61.58000183105469,61.810001373291016,60.310001373291016,60.97999954223633,15367400,10.842899392644892,12,-0.010867834015564903,0.0,-7.259999999999991,668.46,661.2
2023-09-11,61.72999954223633,62.2599983215332,61.27000045776367,61.93000030517578,12280100,10.842899392644892,12,0.015578890949014434,0.015578890949014434,10.299999999999955,661.2,671.5
2023-09-12,61.880001068115234,63.689998626708984,61.7599983215332,62.810001373291016,12224300,10.842899392644892,12,0.014209608651361227,0.030009869543983436,9.539999999999964,671.5,681.04
2023-09-13,62.810001373291016,63.31999969482422,62.165000915527344,62.84000015258789,9426600,10.842899392644892,12,0.0004776115051898788,0.030501814108136793,0.3300000000000409,681.04,681.37
2023-09-14,63.88999938964844,64.5999984741211,63.310001373291016,64.44000244140625,14564700,10.842899392644892,12,0.02546152585826289,0.056739962695038004,17.350000000000023,681.37,698.72
2023-09-15,64.66000366210938,65.7300033569336,63.90999984741211,64.20999908447266,21818700,10.842899392644892,12,-0.0035692636284849755,0.05296817918142405,-2.5,698.72,696.22
2023-09-18,63.349998474121094,63.51499938964844,62.75,62.939998626708984,14050000,10.842899392644892,12,-0.01977885805749502,0.03214167102633558,-13.769999999999982,696.22,682.45
2023-09-19,62.099998474121094,62.41999816894531,61.45199966430664,62.189998626708984,11441800,10.842899392644892,12,-0.011916110841504457,0.01984255647025024,-8.129999999999995,682.45,674.32
2023-09-20,62.560001373291016,62.619998931884766,60.83000183105469,60.86000061035156,11138900,10.842899392644892,12,-0.02138604350742379,-0.0019678408131448277,-14.420000000000073,674.32,659.9
